round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.7658337721039057,0.06823037677577229,,
1,0.8048114113143168,0.058400756674106505,0.7291666666666666,0.7351202207331493
2,0.8100539627051763,0.05748313795194468,0.7142857142857143,0.7548285376428853
3,0.8010528657839211,0.05896411961921435,0.7346938775510204,0.7717776901852581
4,0.7993147349087437,0.06012920606421093,0.7333333333333333,0.7638943634213637
5,0.8129348961569005,0.059268250176529536,0.7358490566037735,0.7666535277887269
6,0.808932890356437,0.059380033353047826,0.7307692307692307,0.7646826960977533
7,0.8249501023894751,0.056077242041778386,0.7142857142857143,0.7445802128498226
8,0.8167820773807959,0.05692458968643133,0.7555555555555555,0.7611351990540008
9,0.8076298411244172,0.06048480874364173,0.7906976744186046,0.7926685061095782
10,0.8131507678225968,0.05779652134623585,0.7555555555555555,0.7792668506109578
11,0.8065101279595597,0.060059142225133755,0.7727272727272727,0.7776901852581789
12,0.8125730928179601,0.059275662953292264,0.7816091954022989,0.7871501773748522
13,0.8100158370183017,0.05960653678955624,0.7415730337078652,0.7993693338588884
14,0.7932586719055343,0.06335553623338884,0.7341772151898734,0.7954276704769412
15,0.794370152573764,0.06328125814367144,0.7450980392156863,0.8143476547102877
16,0.7984300312307595,0.06289518163793957,0.759493670886076,0.8104059913283407
17,0.7925230642124823,0.06349800337709245,0.75,0.8080409932991722
18,0.7979602942013989,0.06265705881221505,0.75,0.8143476547102878
19,0.8025946672120926,0.061772322696839035,0.7380952380952381,0.7895151754040205
20,0.7961393310964936,0.060256089428146954,0.7184466019417476,0.7516752069373276
21,0.8037707470113841,0.06007684665687953,0.6966292134831461,0.7619235317303902
22,0.7931576637514443,0.06103107378697941,0.7469879518072289,0.7804493496255419
23,0.7986592472118692,0.0607283701378582,0.7380952380952381,0.7769018525817896
24,0.8096263957662974,0.059553270146922854,0.7111111111111111,0.7757193535672053
25,0.8049385748789621,0.060992068532180845,0.7010309278350515,0.7776901852581788
26,0.7948552554867966,0.06326197564746314,0.7157894736842105,0.7709893575088688
27,0.7950873015956559,0.06251089228867375,0.7096774193548387,0.7796610169491526
28,0.7981672667741063,0.0634225872552107,0.7252747252747253,0.7887268427276309
29,0.7882111766695323,0.06383877143958516,0.7157894736842105,0.7839968466692945
30,0.7945453554628387,0.0637370356202789,0.7272727272727273,0.7847851793456838
31,0.7774104627933965,0.06594398811664172,0.7160493827160493,0.7859676783602682
